452,122,94,0
180,189,406,1
687,147,472,1
484,130,390,1
577,185,133,1
760,255,202,1
272,5,497,0
570,59,450,1
449,278,307,1
145,160,391,0
678,247,439,1
518,83,214,0
789,61,170,0
589,222,119,1
651,287,191,1
286,213,416,1
419,216,478,1
398,189,58,0
491,106,340,1
148,224,444,1
557,59,249,0
248,44,173,0
712,284,262,1
99,43,448,0
795,208,252,1
302,192,403,1
3,54,358,0
414,123,25,0
140,117,471,0
54,228,107,0
713,162,138,1
496,162,16,0
3,96,416,0
200,227,250,1
656,59,263,0
565,235,78,1
49,42,437,0
559,56,332,0
536,74,489,1
197,221,100,0
47,195,51,0
558,219,450,1
315,95,321,0
485,41,220,0
201,296,229,1
774,107,179,1
615,36,65,0
596,49,154,0
189,79,166,0
6,84,127,0
651,76,235,0
519,90,268,0
288,253,214,1
329,226,32,0
84,148,496,1
203,6,259,0
652,45,172,0
537,224,7,1
237,55,203,0
381,29,19,0
518,59,15,0
41,71,480,0
58,257,303,1
440,230,273,1
375,245,323,1
392,227,64,0
550,75,60,0
637,106,487,1
334,114,486,1
95,75,422,0
639,251,152,1
17,247,12,0
538,126,134,0
596,163,73,0
442,280,274,1
305,142,196,0
513,29,432,0
42,35,418,0
76,139,101,0
719,223,213,1
142,86,292,0
542,202,302,1
716,270,454,1
456,129,62,0
441,63,185,0
451,66,177,0
468,151,26,0
226,58,98,0
250,176,481,1
515,186,298,1
587,118,409,1
662,47,315,0
643,73,424,1
104,137,411,0
472,153,200,0
274,80,142,0
269,192,47,0
665,180,234,1
238,242,234,1
383,8,243,0
202,184,291,0
255,264,243,1
90,284,42,0
631,73,19,0
39,180,330,0
702,132,4,0
138,197,209,0
373,258,431,1
64,211,2,0
730,216,107,1
755,49,379,1
85,171,340,0
263,152,286,0
50,48,394,0
603,57,24,0
127,76,180,0
557,35,265,0
581,153,37,0
698,68,325,1
131,8,75,0
39,167,464,0
717,61,484,1
691,112,237,1
657,157,454,1
30,35,202,0
761,42,16,0
62,137,418,0
750,242,225,1
553,162,437,1
237,54,348,0
578,224,345,1
339,16,500,0
498,72,271,0
333,54,113,0
401,157,279,1
724,266,127,1
715,118,486,1
607,256,370,1
320,206,287,1
207,144,168,0
60,72,63,0
640,64,425,1
427,150,151,0
390,184,17,0
39,159,344,0
616,185,305,1
631,107,34,0
262,290,339,1
454,48,315,0
646,36,237,0
529,46,417,0
707,122,29,0
632,65,94,0
725,254,40,1
535,286,428,1
396,156,15,0
309,53,498,0
680,193,176,1
317,179,247,0
444,293,203,1
322,182,147,0
352,137,66,0
159,244,435,1
336,254,143,1
418,159,309,1
258,60,6,0
371,24,287,0
255,242,56,0
564,201,330,1
269,294,15,1
110,90,35,0
58,33,187,0
603,2,336,0
644,26,409,0
672,298,397,1
635,205,404,1
120,262,206,1
347,232,491,1
53,268,306,1
480,11,493,0
620,262,401,1
430,97,421,1
17,235,245,0
768,180,456,1
254,81,73,0
177,104,256,0
161,203,95,0
659,115,313,1
697,232,493,1
522,89,319,0
40,223,184,0
745,285,143,1
639,18,425,0
278,262,162,1
193,199,39,0
77,32,350,0
673,116,137,0
136,98,97,0
182,242,391,1
211,237,291,1
403,50,326,0
285,291,259,1
541,206,262,1
88,47,310,0
231,263,146,1
422,250,72,1
273,121,57,0
754,54,395,1
331,148,51,0
465,138,493,1
773,264,430,1
256,298,13,1
565,77,333,0
608,70,206,0
188,202,463,1
717,252,124,1
259,71,21,0
